Date,ID1,ID2, N lbs per acre ,P2O5 lbs per acre,K2O lbs per acre,Nutrient value per acre $,NO3-N Only lbs per acre 70%,Additional N lbs per acre,$ nitrogen saved  per acre, 1-day CO2-C,Organic C,Organic N,Organic C:N,Soil Health Calculation,Cover crop mix,Total Nitrogen lbs\acre,Inorganic N,Organic N,Total Phosphate  lbs/acre,Inorganic P,Organic P,Al ppm,Fe ppm,Ca ppm,Organic N release,Organic N reserve ,Organic P release,Organic P reserve,% P sat,Ca/AlFe,SHC,Nitrogen Saved $,pH,buffer pH,Lime,NO3,Fe,Mn,Zn,Cu,P,K,Ca,Mg,S,Na,EC,Total Biomass,Diversity Index,Bacteria %,Total Bacteria Biomass,Actinomycetes %,Actinomycetes Biomass,Gram (-) %,Gram (-) Biomass,Rhizobia %,Rhizobia Biomass,Total Fungi %,Total Fungi Biomass,Arbusular Mycorrhizal %,Arbuscular Mycorrhizal Biomass,Saprophytic %,Saprophytes Biomass,Protozoan %,Protozoa Biomass,Gram (+) Biomass,Gram (+) %,Undifferentiated %,Undifferentiated Biomass,Fungi:Bacteria,Predator:Prey,Gram(+):Gram(-),Sat:Unsat,Mono:Poly,Pre 16:1w7c:cy17:0,Pre 18:1w7c:cy19:0
2Spr18,3,Bottom,37.85105175,39.2138061,29.59561386,52.94854982,0.005532476,37.84551927,26.49186349,64.30000305,232.6276245,18.75777626,12.40166283,12.95833015,40% Legume 60% Grass,37.85342407,0.3378703,37.51555377,43.69063835,17.47625556,26.21438279,119.0127792,486.5671692,67.49876404,37.51555252,0,21.73755054,4.476832247,3.136816263,0.111461356,12.95833015,26.4919,4.94,7.19,2,2,218.892,5.449,2.217,0.299,10.456,40.391,287.511,208.699,13.857,76.779,49,4529.82,1.545,52.01,2355.75,11.74,531.9,16.83,762.37,2.39,108.21,9.86,446.85,1.38,62.72,8.48,384.12,0.58,26.4,1593.37,35.18,37.55,1700.82,0.1897,0.0112,2.09,1.5332,10.3174,ALL PRE 16:1,3.8777
2Spr18,4,Longleaf,29.20711788,18.96038504,27.90157013,34.72066622,2.151524878,27.055593,18.9389151,32.70000076,97.02545166,13.42933178,7.224890709,6.553442478,50% Legume 50% Grass,30.12919998,3.270536423,26.85866356,18.96038504,7.584153795,11.37623124,70.1338501,19.14357567,86.0253067,26.85866356,0,11.37623124,1.78E-15,9.233739853,0.96357286,6.553442478,18.9389,5.75,7.6,0.75,1,10.063,1.924,0.236,0.046,4.553,48.821,299.9,40.507,7.254,63.147,24.6,1365.68,1.149,49.87,681.08,10.57,144.34,13.31,181.73,0,0,2.11,28.85,0,0,2.11,28.85,0,0,499.36,36.56,48.02,655.75,0.0424,ALL PREY,2.7478,3.435,ALL MONO,NONE FOUND,ALL PRE 18:1
2Spr18,5,Switch,34.63911037,24.7201086,35.36693115,43.53814607,1.658359718,32.98075065,23.08652546,61.5,152.5579376,16.39432335,9.305534363,10.84059143,40% Legume 60% Grass,35.34983444,2.561189175,32.78864527,24.7201086,9.88804388,14.83206472,100.4539719,85.7142868,231.6135254,32.78864527,1.43E-06,14.83206472,-1.78E-15,5.77320385,1.244108558,10.84059143,23.0865,5.73,7.42,1,1,76.213,3.94,0.797,0.096,4.678,47.991,701.868,71.037,7.469,71.833,33.1,3719.09,1.364,40.01,1488.09,7.48,278.09,15.59,579.97,0,0,6.12,227.71,1.23,45.74,4.89,181.97,0,0,908.12,24.42,53.86,2003.28,0.153,ALL PREY,1.5658,2.2867,23.1544,NONE FOUND,18.2568
2Spr18,6,Burned,45.17580718,30.82421055,32.25603104,50.93688112,9.889657593,35.28614959,24.70030471,103.4000015,132.1676941,17.4401741,7.578347206,13.00403786,40% Legume 60% Grass,49.41423416,14.53388405,34.88035011,30.82421055,12.32968378,18.49452677,52.99417114,16.70761681,197.709671,34.88034821,0,18.49452677,0,19.22738457,2.836507797,13.00403786,24.7003,6.02,,0,1,18.055,2.729,0.172,0.082,3.617,39.64,589.669,87.471,6.923,59.877,31.5,4696.19,1.46,46.41,2179.73,8.12,381.39,19.81,930.5,0,0,11.65,547.14,2.26,106.28,9.39,440.86,0.42,19.62,1249.23,26.6,41.52,1949.69,0.251,0.009,1.3425,1.3884,7.2033,ALL PRE 16:1,14.2469
2Spr18,7,Pasture,106.0787567,814.6172821,208.7818909,685.737262,57.85836029,48.2203964,33.75427748,163.1000061,165.0682831,23.87230301,6.914635658,19.2802639,10% Legume 90% Grass,130.8751984,83.13059235,47.74460602,814.6172821,678.8477234,135.7695587,68.85196686,125.1908417,720.2058716,47.74460602,0,135.7695587,-2.84E-14,182.5274658,3.711582422,19.2802639,33.7543,6.83,,0,1,22.032,6.767,7.643,5.672,293.759,155.795,1351.652,165.567,22.098,91.734,149.6,5861.65,1.512,49.89,2924.63,6.8,398.38,21.86,1281.19,0.45,26.54,13.8,809,3.73,218.54,10.07,590.45,0.79,46.07,1643.45,28.04,35.52,2081.94,0.2766,0.0158,1.2828,1.401,6.1555,ALL PRE 16:1,25.3903
2Spr18,8,Loblolly,31.01222311,25.3292217,21.37812424,37.61768792,2.089545488,28.92267762,20.24587433,22.60000038,90.70605469,14.49211121,6.258995056,5.523332119,50% Legume 50% Grass,32.00553894,3.021315575,28.98422337,31.13015966,8.158927321,22.97123234,27.24662971,9.92555809,74.29656982,28.88642693,0.097795486,17.17029438,5.800937963,36.41123199,1.99871397,5.523332119,20.2459,4.94,7.73,0.75,1,14.925,3.401,0.741,0.165,31.075,28.902,241.358,29.92,5.33,78.283,370,2547.06,1.21,46.57,1186.16,9.56,243.58,14.63,372.64,0,0,3.1,79.08,0,0,3.1,79.08,0,0,813.52,31.94,50.33,1281.83,0.0667,ALL PREY,2.1832,2.9136,ALL MONO,NONE FOUND,60.5946
3Sum18,1,Crop,47.8085969,11.75724902,71.63042908,52.42416325,7.817424583,39.99117231,27.99382062,31.79759789,118.1844864,18.48078156,6.394993782,7.391527653,50% Legume 50% Grass,51.1589241,14.19735909,36.96156502,11.75724902,5.756764603,6.000484419,112.0411758,42.90213776,201.3722382,36.96156311,0,4.843300319,1.1571841,3.29917264,1.299651027,7.391527653,27.9938,5.87,,,1,15.694,13.943,0.601,0.25,10.244,109.293,456.944,56.251,6.417,64,,1161.47,0.879,39.14,454.6,8.36,97.12,5.27,61.2,0,0,0,0,0,0,0,0,0,0,393.4,33.87,60.86,706.87,ALL BACTERIA,ALL PREY,6.4285,7.5036,ALL MONO,NONE FOUND,ALL PRE 18:1
3Sum18,2,Overgrown,108.71871,34.3064126,78.42320251,94.95009369,1.983373666,106.7353363,74.71473541,498.9874878,580.3384399,36.98552322,15.69096184,43.02684784,20% Legume 80% Grass,109.5687256,35.59767914,73.97104645,34.3064126,15.67726278,18.62914982,36.49380493,21.02029228,1791.991211,73.97104645,0,18.62914982,0,25.93421745,31.15742493,43.02684784,74.7147,7.37,,,1,36.124,10.405,4.153,0.31,8.029,63.616,5310.062,169.963,7.236,224,,9813.36,1.353,53.65,5264.65,10.29,1009.86,18,1766.48,0,0,5.98,587.11,2.53,248.28,3.45,338.83,0.32,31.25,3498.17,35.65,40.05,3930.35,0.1115,0.0059,1.9803,2.1916,23.9281,ALL PRE 16:1,12.5852
3Sum18,3,Bottom,43.14728219,5.054609156,31.37598953,31.77873562,-0.002581289,43.14986348,30.20490444,194.0603943,321.9588623,20.33056259,15.83620071,24.64393234,20% Legume 80% Grass,43.14617538,2.485050678,40.66112471,5.054609156,4.212174296,0.842434859,70.07017517,211.2211304,88.02424622,40.66112471,4.77E-07,0.842434859,-3.33E-16,0.78127414,0.312929153,24.64393234,30.2049,4.7,,,1,187.029,6.398,2.029,0.307,9.51,46.333,397.091,170.289,21.492,81.9,,5667.81,1.18,53.38,3025.28,15.11,856.46,8.62,488.59,0,0,3.08,174.71,0.81,45.71,2.28,129,0.11,6.29,2536.68,44.76,43.43,2461.53,0.0578,0.0021,5.1919,2.7475,20.9874,NONE FOUND,6.4475
3Sum18,4,Longleaf,31.13817045,1.670808464,28.60144958,23.63534146,0.109539838,31.02863061,21.72004143,153.7744598,277.0430908,14.82829571,18.68340683,19.83823013,60% Legume 40% Grass,31.18511581,1.528524637,29.65659118,1.670808464,1.39234041,0.278468055,111.8131638,80.724617,221.2971649,29.65659118,2.38E-07,0.278468055,0,0.377296567,1.149370074,19.83823013,21.72,4.8,,,1,142.218,6.583,1.493,0.169,5.116,35.142,694.58,56.52,5.855,45.3,,8063.64,1.594,41.83,3372.9,9.97,803.99,12.43,1002.5,3.19,256.97,8.31,669.82,1.38,111.39,6.93,558.44,0.6,48.59,2370.41,29.4,49.26,3972.33,0.1986,0.0144,2.3645,2.3499,6.9472,7.1993,1.6497
3Sum18,5,Switch,26.43312449,3.762319446,36.03906097,25.82054475,3.353365135,23.07975936,16.15583155,32.86528397,143.1364594,12.01326561,11.91486645,7.35058403,50% Legume 50% Grass,29.8300724,5.803541183,24.02653122,3.762319446,2.357836914,1.404482532,111.1759949,26.61018944,199.3474121,22.06674004,1.959791183,0.967441547,0.437040985,1.187195301,1.446788073,7.35058403,16.1558,5.66,,,1,29.23,5.304,0.485,0.103,6.071,54.134,519.637,51.105,5.054,46,,1784.1,0.958,50.78,905.94,11.87,211.8,6.63,118.21,0,0,0.77,13.77,0,0,0.77,13.77,0,0,787.73,44.15,48.45,864.39,0.0152,ALL PREY,6.6637,4.441,ALL MONO,NONE FOUND,ALL PRE 18:1
3Sum18,6,Burned,28.62870075,4.275799453,35.27615891,26.79119553,0.269113678,28.35958707,19.85171095,54.23781586,161.6678619,13.57089138,11.91283989,10.01422787,40% Legume 60% Grass,28.74403572,1.602252483,27.14178324,4.275799453,2.123319036,2.152480417,108.2681427,44.43712997,205.2680359,27.14178276,0,2.152480417,4.44E-16,1.217406034,1.344210505,10.01422787,19.8517,5.81,,,1,41.637,3.063,0.245,0.124,1.937,37.644,441.855,70.543,4.733,28.8,,2301.52,1.049,53.09,1221.89,12.35,284.13,9.75,224.46,0,0,1.19,27.27,0,0,1.19,27.27,0,0,997.43,43.34,45.72,1052.36,0.0223,ALL PREY,4.4436,4.2202,ALL MONO,NONE FOUND,ALL PRE 18:1
3Sum18,7,Pasture,50.2647613,579.938331,157.0273315,481.0223023,4.864133692,45.40062761,31.78043933,49.66865158,164.4398041,20.64672089,7.964451313,10.32033348,40% Legume 60% Grass,52.34939194,11.05594826,41.29344368,586.6867065,514.7862274,71.90047913,88.2486496,77.3324585,697.6652832,41.29344177,0,65.15210361,6.748375511,154.0521088,4.213435173,10.32033348,31.7804,6.86,,,1,23.827,4.993,12.304,8.168,354.598,170.708,1386.645,159.823,14.931,110.8,,3674.19,1.561,50.17,1843.2,10.56,388.1,15.56,571.55,1.53,56.17,10.73,394.34,3.09,113.55,7.64,280.79,0.76,27.9,1271.65,34.61,38.34,1408.74,0.2139,0.0151,2.2249,2.1701,4.8986,3.728,4.8106
3Sum18,8,Loblolly,21.13126878,17.59145012,22.32812576,28.58136661,1.312527871,19.8187409,13.87311863,23.64179993,111.438179,11.19946289,9.950314522,5.712889671,50% Legume 50% Grass,25.08482552,2.685899496,22.39892602,17.59145012,9.515612364,8.075837755,55.23222733,20.3678112,69.98464203,19.00788116,3.391044617,5.139908075,2.93592968,10.11700058,0.925722301,5.712889671,13.8731,5.66,,,1,27.373,6.335,1.275,0.466,38.66,45.252,503.486,51.079,5.393,54.8,,2135.78,1.341,45.45,970.74,10.08,215.22,12.74,272.18,0,0,6.72,143.45,0.95,20.29,5.77,123.15,0,0,698.55,32.71,47.83,1021.59,0.1478,ALL PREY,2.5665,2.4981,21.116,ALL PRE 16:1,11.9924
4Fal18,1,Crop,26.53624759,10.98312097,58.97501221,38.94393798,4.746817923,21.78942966,15.25260077,25.79774857,76.92165375,10.7732172,7.140081882,5.195529461,50% Legume 50% Grass,28.5705986,7.024163723,21.54643488,10.98312097,6.07763083,4.905490136,127.5958786,57.15082169,117.4538803,21.5464344,0,4.905490136,0,2.58476615,0.635756314,5.195529461,15.2526,5.75,,,1,72.48985248,28.2467995,0.533450271,0.320548364,15.90809598,106.2632321,339.5524925,47.76548441,5.920657191,25.7,,771.49,1.084,39.68,306.15,8.63,66.62,7.6,58.67,0,0,1.55,11.99,0,0,1.55,11.99,0,0,247.49,32.08,58.76,453.35,0.0392,ALL PREY,4.2184,4.4092,ALL MONO,NONE FOUND,ALL PRE 18:1
4Fal18,2,Overgrown,93.48849516,23.20069637,69.61669922,78.00173025,19.41032677,74.07816839,51.85471787,311.8087463,419.4696045,35.04519653,11.96938896,31.38195801,20% Legume 80% Grass,101.8072052,31.71681404,70.09039116,23.20069637,9.593813276,13.6068831,32.22597122,26.98853683,1606.930664,70.09039116,1.91E-06,13.6068831,0,17.03511429,27.13744926,31.38195801,51.8547,7.21,,,2,41.85594693,9.054422569,3.140380505,0.280670727,7.666785447,71.77438775,3680.523948,163.646838,6.611267158,118.8,,10852.95,1.392,50.9,5523.76,11.96,1297.51,12.97,1408.01,0.58,63.16,5.57,604.51,2.66,288.73,2.91,315.78,0.36,38.99,4115.77,37.92,43.17,4685.68,0.1094,0.0071,2.9231,2.9038,16.5773,19.4816,10.9261
4Fal18,3,Bottom,37.38627151,17.74748509,50.16736908,44.93632735,0.965015328,36.42125618,25.49487933,104.2791977,325.7674255,17.60809898,18.50099945,16.96609116,60% Legume 40% Grass,37.79985046,2.583651543,35.21619892,18.11137915,8.943066287,9.16831286,160.4297333,279.678772,103.5807571,35.21619797,0,8.804418802,0.363894057,1.789220691,0.235352769,16.96609116,25.4949,4.95,,,1,274.7516774,9.424607748,4.479120003,4.87157681,14.18596498,68.09298481,391.5743521,201.7180439,17.62265405,45,,5077.19,1.659,49.18,2496.72,11.73,595.34,16.4,832.44,5.52,280.05,13.77,699.34,1.93,97.99,11.84,601.35,0.67,33.98,1664.28,32.78,36.38,1847.14,0.2801,0.0136,1.9993,1.7123,10.1714,5.92,1.1832
4Fal18,4,Longleaf,26.39944044,5.365764427,22.70298843,22.26185723,1.005383408,25.39405704,17.77583992,71.55516052,198.1715698,12.29159832,16.12252235,12.34810734,40% Legume 60% Grass,26.83031845,2.247122288,24.58319616,5.365764427,3.485639191,1.880125237,120.3377991,45.26549911,141.8518066,24.58319616,4.77E-07,1.880125237,2.22E-16,1.408752799,0.856575966,12.34810734,17.7758,4.79,,,1,73.02279215,6.42199754,1.3587382,0.162128616,4.865024867,40.88578167,378.2739664,40.97866678,5.739978275,22.6,,5307.7,1.68,46.25,2454.89,8.03,426.17,18.41,977.24,6.94,368.23,11.28,598.8,1.99,105.37,9.3,493.43,0.82,43.36,1477.64,27.84,41.65,2210.67,0.2439,0.0177,1.5121,2.357,6.2907,3.9156,0.8959
4Fal18,5,Switch,24.47190133,2.97216686,24.41201477,20.41348251,5.109059191,19.36284214,13.5539895,24.42848015,140.2671509,13.52596855,10.3702116,6.600788116,50% Legume 50% Grass,34.86831665,7.816380501,27.05193615,2.97216686,2.797969842,0.174197018,106.8965607,29.8578186,99.80296326,18.84511757,8.206819534,0.091012791,0.083184227,0.944939733,0.729797184,6.600788116,13.554,5.33,,,2,79.43367593,3.824662567,0.306984498,0.074392505,5.126531508,48.1077476,246.7315028,39.51100521,6.200063541,27.8,,5653.37,1.377,29.08,1644.01,3.25,183.9,16.1,910.38,0,0,6.15,347.57,0.99,56.02,5.16,291.55,0.59,33.09,733.63,12.98,64.19,3628.69,0.2114,0.0201,0.8058,2.1918,11.7785,ALL PRE 16:1,33.8512
4Fal18,6,Burned,33.52922346,4.504989576,38.15725708,29.92022207,0.692089397,32.83713406,22.98599384,98.25003815,142.7147064,15.97900486,8.931388855,14.27719879,40% Legume 60% Grass,33.82583237,1.867823482,31.95800889,4.504989576,2.947482038,1.557507539,74.44976044,32.12476349,217.7194366,31.95800889,8.34E-07,1.557507539,-4.44E-16,1.837860584,2.04288435,14.27719879,22.986,6.06,,,1,35.3308708,5.351142693,0.386218734,0.123434231,3.379077892,59.61766907,456.2005183,71.20658121,3.836486361,139.5,,2448.42,1.146,47.08,1152.66,8.01,196.02,13.85,339.04,0,0,2.51,61.48,0,0,2.51,61.48,0,0,813.63,33.23,50.41,1234.27,0.0533,ALL PREY,2.3998,3.3722,ALL MONO,NONE FOUND,23.6477
4Fal18,7,Pasture,81.43000945,606.2967194,164.8068787,514.6621149,40.33153191,41.09847754,28.76893428,145.8457489,188.9555969,20.12178802,9.39059639,17.94510269,30% Legume 70% Grass,98.71495056,58.47137451,40.24357605,606.2967194,479.8471863,126.4495331,80.40600586,79.55400085,725.6393433,40.24357605,0,126.4495331,-2.84E-14,164.7957306,4.536379814,17.94510269,28.7689,6.71,,,4,30.37777313,10.0238329,21.17063827,13.41068731,465.9158675,210.9797713,1403.681488,162.4354109,11.35481181,138.4,,3437.48,1.151,54,1856.11,9.05,311.08,13.34,458.54,0,0,3.26,112.2,0.68,23.43,2.58,88.77,0,0,1397.57,40.66,42.74,1469.17,0.0604,ALL PREY,3.0479,3.8619,229.869,NONE FOUND,24.4419
4Fal18,8,Loblolly,33.00224373,20.04720268,17.35343399,33.30764127,0.907690918,32.09455281,22.46618697,39.22539902,133.0867462,15.83490658,8.404644012,8.167765617,50% Legume 50% Grass,33.39125443,1.721441031,31.66981339,20.04720268,16.71367383,3.333528852,63.38421631,18.86396027,148.0259247,31.66981316,0,2.947528648,0.386000204,10.59740829,1.799747229,8.167765617,22.4662,5.74,,,1,21.7812456,5.067902393,1.378166278,0.18284058,38.48624811,38.95635654,352.1934408,36.03828433,4.103166128,18.71,,1606.46,1.101,43.94,705.8,9.08,145.94,10.28,165.15,0,0,1.45,23.37,0,0,1.45,23.37,0,0,540.66,33.66,54.61,877.29,0.0331,ALL PREY,3.2738,4.1865,ALL MONO,NONE FOUND,ALL PRE 18:1
5Win19,1,Crop,24.8067401,2.79768908,68.60775604,35.89379301,1.74511404,23.06162606,16.14313824,18.88950157,98.14299774,14.82367992,6.620690346,5.334177971,50% Legume 50% Grass,32.37719345,2.72983408,29.64735937,2.79768908,2.331407475,0.466281605,242.3185272,119.289856,89.32778168,22.82481194,6.822547913,0.269234517,0.197047088,0.3363823,0.247029066,5.334177971,16.1431,6.16,,,1,57.2395417,21.03502463,0.422034051,0.204173389,10.26415249,86.31094519,239.1437367,33.20175671,4.09662195,,,1263.36,1.126,50.34,636.02,9.54,120.49,12.79,161.53,0,0,2.32,29.33,0,0,2.32,29.33,0,0,474.49,37.56,47.34,598.02,0.0461,ALL PREY,2.9374,3.4981,52.5571,NONE FOUND,14.7701
